staged_name,class,class_dir,source,family,source_commit,source_path,sha256,phash,width,height,group_id,split,in_balanced
kiran__Dataset_test_BrownRust__BrownRust1080.png,Brown Rust,Brown_Rust,kiran,kiran,f4b7cf7c5ac4be3d1d44afb01d0084806e24230b,Dataset/test/BrownRust/BrownRust1080.png,d1fbb7b5f6a1e3bec66843ca6efc111e5edf03e2685ad71d4057f43ec37916d6,b4d1e895d22d4faa96c6f4cbab208704fbd31e6f83df50b61e69c10dac2cb80a,567,756,308,train,1
kiran__Dataset_test_BrownRust__BrownRust1248.png,Brown Rust,Brown_Rust,kiran,kiran,f4b7cf7c5ac4be3d1d44afb01d0084806e24230b,Dataset/test/BrownRust/BrownRust1248.png,755c0604496b78f3cf9c005e1b1b3a682e31452182b8b4504533859e04f3ea50,c74f70dd01d3a3f78481b7b76bf358210e60e86810080aebd95941c7ffad0b9f,567,1008,309,train,1
kiran__Dataset_test_BrownRust__BrownRust1279.png,Brown Rust,Brown_Rust,kiran,kiran,f4b7cf7c5ac4be3d1d44afb01d0084806e24230b,Dataset/test/BrownRust/BrownRust1279.png,fe085bbea44b44857edbda33746ab3131e8271d71688c799a5c691d798efb18e,bce90b8f20d7ecfc31e71528d28ca4f71806dea0cf56b3c20050c894fa5f3e5f,567,1008,310,train,1
kiran__Dataset_test_BrownRust__BrownRust1339.png,Brown Rust,Brown_Rust,kiran,kiran,f4b7cf7c5ac4be3d1d44afb01d0084806e24230b,Dataset/test/BrownRust/BrownRust1339.png,ab7ee71fc7bff5b77d09cac5e34ca1d96b9a1315f36e569d048dfadf0c6dc84d,aaf615d6e9748d6d894d7ad5ae84d7c5ed2c455222a26032f3a2fb222fb15518,567,1008,311,train,1
kiran__Dataset_test_BrownRust__BrownRust1508.png,Brown Rust,Brown_Rust,kiran,kiran,f4b7cf7c5ac4be3d1d44afb01d0084806e24230b,Dataset/test/BrownRust/BrownRust1508.png,d2253b52263f0a27ee4520a270777beb524c7f1c94607c49de206defbcab3a58,ce6efc18bbb1a7469750d22090535f433ed6495e286c7ed0a938b054513f67f4,567,756,312,train,1
kiran__Dataset_test_BrownRust__BrownRust1572.png,Brown Rust,Brown_Rust,kiran,kiran,f4b7cf7c5ac4be3d1d44afb01d0084806e24230b,Dataset/test/BrownRust/BrownRust1572.png,b4e7df63c207e9d3565c0780cba756897f804bbb0c0edaf915de3d657cab792b,c3bed518ab4d6b780006fca7b70108f7fe0301c1f2bb57a052f8057f9a5b90de,567,756,313,train,1
kiran__Dataset_test_BrownRust__BrownRust1655.png,Brown Rust,Brown_Rust,kiran,kiran,f4b7cf7c5ac4be3d1d44afb01d0084806e24230b,Dataset/test/BrownRust/BrownRust1655.png,f8e702fd6f4748098f62ca3581955a8e41e1008150405488fe035b83737d526f,8d1b1cb131b2b72ff47848db1e18d4c3899a0b2b6e0bf223c2630da53f74f66c,567,756,314,train,1
kiran__Dataset_test_BrownRust__BrownRust2288.png,Brown Rust,Brown_Rust,kiran,kiran,f4b7cf7c5ac4be3d1d44afb01d0084806e24230b,Dataset/test/BrownRust/BrownRust2288.png,3d5f28cfcaf94543d7476a86fd7b8da79dd245937076675b459e9ffc23fd540b,aa390df8e0d794bf1c26e3093e72c7e77c3781433f8e08146f312053cfad70e1,567,1008,315,train,1
kiran__Dataset_test_BrownRust__BrownRust348.png,Brown Rust,Brown_Rust,kiran,kiran,f4b7cf7c5ac4be3d1d44afb01d0084806e24230b,Dataset/test/BrownRust/BrownRust348.png,f5f46d942bf745bcc631da880192364cc04c3d86462d5bbb7f5b8325adba946d,9629c262d65af41e0d1e790efb186b56fe9ef4cf07100ce15294c3abe09ff411,567,756,316,train,1
kiran__Dataset_test_BrownRust__BrownRust501.png,Brown Rust,Brown_Rust,kiran,kiran,f4b7cf7c5ac4be3d1d44afb01d0084806e24230b,Dataset/test/BrownRust/BrownRust501.png,e4a0bcd99740d19683f8e29a273b4fd66895a359d21a1a462e6c9dd50eed3455,bfd2e552bb5998d254e6b674ea35d52f3f838623a9705ef5a439024b80f24849,567,756,317,train,1
kiran__Dataset_test_BrownRust__BrownRust824.png,Brown Rust,Brown_Rust,kiran,kiran,f4b7cf7c5ac4be3d1d44afb01d0084806e24230b,Dataset/test/BrownRust/BrownRust824.png,7eb8f990e49b76088f5b46cabe857387936a09a83e2efc366fccb68bcc81eefa,cdbaab3a62023694df740355fc4c2f83c0e7362791c37d719189e6f30399ec43,567,756,318,validation,1
kiran__Dataset_test_BrownRust__BrownRust91.png,Brown Rust,Brown_Rust,kiran,kiran,f4b7cf7c5ac4be3d1d44afb01d0084806e24230b,Dataset/test/BrownRust/BrownRust91.png,8acffae3efd406576e32ee02fb9d9baa31b2bf642bdee215bc304f5c1a39a509,b368e6d2baa0ddaa8541e75173f7a0edecaea621d103a93223c4dda1a850bead,567,756,319,train,1
kiran__Dataset_test_BrownRust__BrownRust983.png,Brown Rust,Brown_Rust,kiran,kiran,f4b7cf7c5ac4be3d1d44afb01d0084806e24230b,Dataset/test/BrownRust/BrownRust983.png,91462f0b091b0356006da2d4a0504a659a1aad55fa173d0836ee5a797075f63c,a8e8a978789888e3f07314b8bf23940fb86cc2dd0de4714d4e1a3f964df4f8a9,567,756,320,validation,1
